   Unnamed: 0                          Unnamed: 1                         Unnamed: 2                                                Unnamed: 3                          Unnamed: 4                                                                       Unnamed: 5                                                     Unnamed: 6  Unnamed: 7           Unnamed: 8           Unnamed: 9
0        Jahr            Inland-produktion Erdgas                Nettoimport Erdgas1                   Erzeugung aus Kohle und Erd-ölprodukten    Biogaseinspeisung ins Erdgasnetz                 Umwandlung für die Erzeugung von Elektrizität und Fernwärme (-)2               Eigenverbrauch der Gaswerke und Netzverluste (-)         NaN         Endverbrauch         Endverbrauch
1       Année  Production indigène de gaz naturel  Importation nette de gaz naturel1  Production à partir de houille et de produits pétroliers  Injection de biogaz dans le réceau  Transformation pour la production d'électricité et le chauffage à distance (-)2  Consommation propre des usines à gaz et pertes de réseaux (-)         NaN  Consommation finale  Consommation finale
2         NaN                                 GWh                                GWh                                                       GWh                                 GWh                                                                              GWh                                                            GWh         NaN                  GWh                   TJ
3        1970                                   -                                428                                                      1740                                   -                                                                               65                                                            263         NaN                 1840                 6620
4        1971                                   -                               1032                                                      1697                                   -                                                                              367                                                            253         NaN                 2110                 7600
5        1972                                   -                               1310                                                      1582                                   -                                                                              300                                                            315         NaN                 2278                 8200
6        1973                                   -                               1775                                                      1662                                   -                                                                              255                                                            530         NaN                 2652                 9550
7        1974                                   -                               3738                                                      1153                                   -                                                                              265                                                            860         NaN                 3765                13550
8        1975                                   -                               6023                                                       482                                   -                                                                              260                                                           1003         NaN                 5243                18870
9        1976                                   -                               6285                                                       373                                   -                                                                              230                                                            752         NaN                 5675                20430
10       1977                                   -                               7178                                                       257                                   -                                                                               55                                                            680         NaN                 6700                24120
11       1978                                   -                               7875                                                       225                                   -                                                                             1177                                                            688         NaN                 6235                22450
12       1979                                   -                               8833                                                       208                                   -                                                                             1350                                                            627         NaN                 7062                25420
13       1980                                   -                              10077                                                       200                                   -                                                                             1210                                                            633         NaN                 8435                30370
14       1981                                   -                              10873                                                       155                                   -                                                                             1155                                                            602         NaN                 9270                33370
15       1982                                   -                              11482                                                       128                                   -                                                                             1125                                                            533         NaN                 9952                35830
16       1983                                   -                              12625                                                       128                                   -                                                                             1118                                                            545         NaN                11090                39920
17       1984                                   -                              14080                                                       122                                   -                                                                             1077                                                            510         NaN                12615                45410
18       1985                                 175                              14567                                                       130                                   -                                                                             1128                                                            505         NaN                13240                47660
19       1986                                 149                              14945                                                       131                                   -                                                                             1133                                                            487         NaN                13605                48980
20       1987                                  84                              16102                                                       141                                   -                                                                             1247                                                            408         NaN                14672                52820
21       1988                                  70                              16228                                                       139                                   -                                                                             1164                                                            328         NaN                14945                53800
22       1989                                  43                              17686                                                        99                                   -                                                                             1131                                                            357         NaN                16340                58830
23       1990                                  35                              18940                                                        80                                   -                                                                             1186                                                            192         NaN                17677                63640
24       1991                                  29                              21271                                                        61                                   -                                                                             1308                                                            206         NaN                19847                71450
25       1992                                  26                              22365                                                        56                                   -                                                                             1297                                                            216         NaN                20934                75360
26       1993                                  23                              23467                                                        54                                   -                                                                             1289                                                            223         NaN                22032                79320
27       1994                                  10                              23158                                                        51                                   -                                                                             1314                                                            222         NaN                21683                78060
28       1995                                   -                              25534                                                        56                                   -                                                                             1481                                                            221         NaN                23888                86000
29       1996                                   -                              27638                                                        59                                   -                                                                             1833                                                            218         NaN                25646                92320
30       1997                                   -                              26682                                                        57                                   0                                                                             1933                                                            208         NaN                24598                88550
31       1998                                   -                              27466                                                        52                                   1                                                                             1892                                                            195         NaN                25432                91550
32       1999                                   -                              28457                                                        39                                   1                                                                             2522                                                            185         NaN                25790                92840
33       2000                                   -                              28299                                                        26                                   3                                                                             2275                                                            175         NaN                25878                93160
34       2001                                   -                              29456                                                        25                                   4                                                                             2369                                                            167         NaN                26949                97020
35       2002                                   -                              28911                                                        25                                   3                                                                             2431                                                            157         NaN                26351                94860
36       2003                                   -                              30560                                                        28                                   4                                                                             2667                                                            152         NaN                27773                99980
37       2004                                   -                              31526                                                        34                                   5                                                                             2689                                                            146         NaN                28730               103430
38       2005                                   -                              32365                                                        37                                   9                                                                             2697                                                            141         NaN                29573               106460
39       2006                                   -                              31469                                                        34                                  10                                                                             2375                                                            133         NaN                29005               104420
40       2007                                   -                              30641                                                        24                                  15                                                                             2167                                                            130         NaN                28383               102180
41       2008                                   -                              32648                                                        15                                  30                                                                             2319                                                            129         NaN                30245               108880
42       2009                                   -                              31335                                                         -                                  37                                                                             2211                                                            124         NaN                29037               104530
43       2010                                   -                              35004                                                         -                                  58                                                                             2722                                                            136         NaN                32204               115940
44       2011                                   -                              31048                                                         -                                  81                                                                             2056                                                            126         NaN                28947               104210
45       2012                                   -                              34034                                                         -                                  89                                                                             2247                                                            122         NaN                31754               114320
46       2013                                   -                              35841                                                         -                                 128                                                                             2311                                                            115         NaN                33543               120750
47       2014                                   -                              31047                                                         -                                 185                                                                             1381                                                            105         NaN                29746               107080
48       2015                                   -                              33172                                                         -                                 230                                                                             1933                                                            109         NaN                31360               112900
49       2016                                   -                              34849                                                         -                                 271                                                                             2453                                                            110         NaN                32557               117210
50       2017                                   -                              34998                                                         -                                 301                                                                             2167                                                            108         NaN                33024               118890
51       2018                                   -                              33197                                                         -                                 325                                                                             2228                                                            105         NaN                31189               112280
52       2019                                   -                              34060                                                         -                                 361                                                                             2314                                                            107         NaN                32000               115200
